Date,Open,High,Low,Close,Adj Close,Volume
2007-04-01,39.720001,40.139999,38.380001,38.720001,19.517990,401818500
2007-05-01,38.930000,41.500000,38.439999,41.340000,21.028971,455428500
2007-06-01,41.400002,41.540001,38.700001,41.500000,21.110357,503835500
2007-07-01,41.439999,41.930000,38.830002,39.160000,19.920044,533659200
2007-08-01,39.139999,40.880001,36.529999,39.869999,20.458515,530098300
2007-09-01,39.910000,42.970001,38.520000,42.310001,21.710552,457954700
2007-10-01,42.419998,42.720001,40.340000,41.790001,21.443731,458626200
2007-11-01,41.650002,41.860001,36.250000,38.209999,19.773895,568935500
2007-12-01,38.490002,42.790001,37.709999,41.560001,21.507549,520263900
2008-01-01,41.509998,41.939999,33.320000,38.490002,19.918800,777731000
2008-02-01,38.580002,38.820000,32.950001,34.830002,18.200459,712167400
2008-03-01,34.750000,38.740002,34.250000,38.299999,20.013704,517361400
2008-04-01,38.700001,39.610001,37.020000,38.709999,20.227949,465053300
2008-05-01,39.290001,40.700001,38.299999,39.900002,21.065788,430305600
2008-06-01,39.669998,39.910000,32.630001,33.689999,17.787130,607146600
2008-07-01,33.410000,33.590000,30.530001,30.809999,16.266588,623483900
2008-08-01,31.010000,32.810001,29.719999,31.990000,17.098875,502823900
2008-09-01,32.529999,33.150002,27.510000,27.920000,14.923436,707934300
2008-10-01,28.150000,29.370001,20.900000,26.770000,14.308752,1082593800
2008-11-01,26.870001,29.910000,23.320000,28.559999,15.506493,709710900
2008-12-01,28.000000,30.650000,26.570000,28.500000,15.473915,733617400
2009-01-01,28.740000,29.459999,23.900000,24.620001,13.367291,689965600
2009-02-01,24.969999,26.379999,22.299999,23.770000,13.095510,656411400
2009-03-01,22.799999,26.959999,21.440001,25.200001,13.883335,828007500
2009-04-01,24.770000,27.090000,24.770000,25.620001,14.114719,628424300
2009-05-01,25.879999,26.780001,23.379999,24.790001,13.871336,580943800
2009-06-01,24.969999,25.270000,23.809999,24.840000,13.899319,679887400
2009-07-01,24.940001,26.600000,23.190001,26.230000,14.677097,611519000
