,指标1,指标2,相关性得分,最优TS位移位数,最优TS,最优皮尔逊位移位数,最优位移皮尔逊相关系数,指标1 显著频率top3,指标2 显著频率top3,未位移皮尔逊相关系数,TS,kl,相关类型(1:正相关_person为基准 ;0:负相关_TS为基准)
10327,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:以贱金属为底的包贵金属制的金银器及零件:累计值,51.11797090442758,-8,0.6111797090442758,12,-0.11744649219820752,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 6.833333333333332, 2.411764705882353]",-0.42823107910456737,0.42823107910456737,inf,0
10328,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:工业或实验室用贵金属或包贵金属制品:累计值,17.98356974274846,4,0.2798356974274846,10,-0.07180897930059542,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 4.1000000000000005]",-0.1994470699461893,0.1994470699461893,0.3214584597377425,0
10329,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他贵金属或包贵金属制品:累计值,37.725374890981136,12,0.47725374890981137,-10,-0.14726792262086344,"[20.5, 11.714285714285714, 7.454545454545454]","[6.3076923076923075, 4.1000000000000005, 3.0370370370370368]",-0.3685724478542804,0.3685724478542804,0.9558717433560078,0
10330,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:电子工业用直径≥30cm的单晶硅棒:累计值,49.20037568734434,10,0.5420037568734436,10,0.5420037568734434,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 20.5, 5.857142857142857]",0.36516100943873164,0.36516100943873164,0.6147352903812741,1
10331,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:电子工业用7.5cm≤直径<30cm的单晶硅棒:累计值,50.53613486118879,4,0.605361348611888,-10,-0.41681392745761336,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 4.1000000000000005]",-0.5402019561488993,0.5402019561488993,0.5810191282376507,0
10332,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:电子工业用直径<7.5cm的单晶硅棒:累计值,30.3693266518263,7,0.403693266518263,-12,-0.16775072794737106,"[20.5, 11.714285714285714, 7.454545454545454]","[27.33333333333333, 5.857142857142857, 3.416666666666666]",-0.24748426681453914,0.24748426681453914,1.9975996414938473,0
10333,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他含硅量≥99.99%的硅:累计值,43.72995637729298,-12,0.5372995637729298,12,0.0709315525191466,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 27.33333333333333, 5.857142857142857]",-0.3461445843321906,0.3461445843321906,0.5959369895414874,0
10334,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他含硅量<99.99%的硅:累计值,18.41326027679776,10,0.23413260276797765,10,0.23413260276797762,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 3.0370370370370368]",0.01619045545361637,0.01619045545361637,0.2516512113238876,1
10335,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:二氧化锰:累计值,38.82571173171349,10,0.438257117317135,10,0.4382571173171349,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.21409513150593495,0.21409513150593495,0.22873233048319144,1
10336,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他锰的氧化物:累计值,20.88106443360009,10,0.258810644336001,10,0.25881064433600093,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 3.0370370370370368]",-0.05980452163827614,0.05980452163827614,0.2624083663898085,1
10337,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:碳化硅:累计值,30.049120838367145,10,0.3504912083836716,10,0.3504912083836715,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.05224426033820018,0.05224426033820018,0.2534503575279887,1
10338,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:单晶硅:7.5cm-15.24cm:累计值,9.233796744712857,4,0.20070696356531192,-10,0.14233796744712857,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 27.33333333333333, 5.857142857142857]",-0.1352276301282419,0.1352276301282419,0.4027306768662745,1
10339,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:直径>15.24cm的单晶硅切片:累计值,70.81820454568884,10,0.7581820454568884,10,0.7581820454568885,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.7460542415472957,0.7460542415472957,0.3452384217320202,1
10340,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:钒铁:按重量含钒≥75％:累计值,5.74428710042155,3,0.18017741616602856,10,0.1074428710042155,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 3.0370370370370368]",-0.12087984031356037,0.12087984031356037,0.29600113207285617,1
10341,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他钒铁:累计值,57.205896505325754,-12,0.6220589650532576,-12,0.6220589650532575,"[20.5, 11.714285714285714, 7.454545454545454]","[41.0, 11.714285714285714, 16.400000000000002]",0.5967257416705595,0.5967257416705595,0.3840838434793454,1
10342,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:速凝永磁片:累计值,38.617762799598985,4,0.48617762799598985,-10,-0.19547675857992797,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 4.1000000000000005]",-0.4252706231634805,0.4252706231634805,0.5088955568219864,0
10343,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:钕铁硼合金磁粉(72029912):累计值,29.431082450336717,10,0.344310824503367,10,0.34431082450336714,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 41.0, 5.857142857142857]",0.14235690309206986,0.14235690309206986,0.2606658892063093,1
10344,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他钕铁硼合金(72029919):累计值,16.86334738865562,10,0.21863347388655616,10,0.21863347388655618,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 20.5]",-0.0677284765499373,0.0677284765499373,0.28200766474511363,1
10345,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他按重量计稀土元素总含量在10%以上的铁合金:累计值,75.4882896680478,10,0.8048828966804779,10,0.804882896680478,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 27.33333333333333]",0.5971221226172594,0.5971221226172594,0.5036332578635448,1
10346,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:未锻轧锰;废碎料;粉末:累计值,45.280947767469065,10,0.5028094776746906,10,0.5028094776746906,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.2895215626882207,0.2895215626882207,0.24398059766567523,1
10347,价格:白酒:五粮液(52度):500ml:一号店:月,"出口数量:其他锰及其制品,包括废碎料:累计值",46.22640898607896,-12,0.5622640898607896,10,-0.3334800753558426,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 3.9047619047619047]",-0.5242102945338191,0.5242102945338191,0.8494056165973902,0
10348,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:未锻轧铬;粉末:累计值,2.770395482553252,4,0.24311286146709474,-7,0.07770395482553252,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 41.0, 20.5]",-0.15130403619320568,0.15130403619320568,0.45791372621660403,1
10349,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他铬及其制品:累计值,17.30722100684756,4,0.2730722100684756,10,-0.05546023702637256,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 3.0370370370370368]",-0.17314113723289115,0.17314113723289115,0.3032440341173474,0
10350,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:扣式碱性锌锰原电池及原电池组:累计值,26.60625380108507,10,0.3160625380108507,10,0.3160625380108507,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 3.0370370370370368]",0.14220188271284306,0.14220188271284306,0.24234219270711296,1
10351,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:圆柱型碱性锌锰原电池及原电池组:累计值,38.5053002684432,10,0.43505300268443214,10,0.43505300268443203,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.2709553749601223,0.2709553749601223,0.2311369431210201,1
10352,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他碱性锌锰原电池及原电池组:累计值,16.42327995106926,10,0.2142327995106927,10,0.2142327995106926,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 41.0]",0.08135870756383982,0.08135870756383982,0.2542701812423327,1
10353,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他二氧化锰的原电池及原电池组:累计值,11.504619408680927,10,0.1650461940868093,10,0.1650461940868093,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",-0.027273375550550313,0.027273375550550313,0.25372295529159156,1
10354,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:氧化银的原电池及原电池组:累计值,51.645615268131934,-9,0.6164561526813194,12,-0.09989334943420607,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 4.1000000000000005, 5.857142857142857]",-0.4607684105428136,0.4607684105428136,0.9142989263015167,0
10355,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:锂的原电池及原电池组:累计值,35.83904044294307,10,0.40839040442943086,10,0.40839040442943075,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 27.33333333333333]",0.1060767750618755,0.1060767750618755,0.281438201972864,1
10356,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:锌空气的原电池及原电池组:累计值,12.689209087995835,10,0.1768920908799584,10,0.17689209087995833,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 41.0]",0.06505807990777421,0.06505807990777421,0.25894467527183723,1
10357,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他原电池及原电池组:累计值,2.989968435642501,-11,0.23679033515194156,10,0.07989968435642501,"[20.5, 11.714285714285714, 7.454545454545454]","[41.0, 11.714285714285714, 16.400000000000002]",-0.16754073809136177,0.16754073809136177,0.822246155417116,1
10358,价格:白酒:五粮液(52度):500ml:一号店:月,"出口数量:铅酸蓄电池,用于起动活塞式发动机:累计值",39.806729461942886,10,0.44806729461942896,10,0.44806729461942885,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.29494522404030465,0.29494522404030465,0.21076085238418774,1
10359,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他铅酸蓄电池:累计值,17.491837078248395,10,0.22491837078248397,10,0.22491837078248395,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",-0.0670131354338008,0.0670131354338008,0.26951324595315584,1
10360,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:镍镉蓄电池:累计值,26.735195868878662,3,0.3673519586887866,10,-0.1402438984627367,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 3.0370370370370368]",-0.31424591320492595,0.31424591320492595,0.3348596688882972,0
10361,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:镍铁蓄电池:累计值,20.015150466388093,-11,0.2564106938257064,10,0.2501515046638809,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 3.0370370370370368]",-0.03279321176888707,0.03279321176888707,0.8708450935169875,1
10362,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:铅酸蓄电池用零件:累计值,57.015859762842375,10,0.6201585976284241,10,0.6201585976284237,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.3335618770551968,0.3335618770551968,0.25328786618618254,1
10363,价格:白酒:五粮液(52度):500ml:一号店:月,出口数量:其他蓄电池用零件:累计值,69.92457530330317,10,0.7492457530330319,10,0.7492457530330318,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.6371108602048392,0.6371108602048392,0.29394827650656147,1
