日期,量道CTA精选1号
2020-05-18,2.325216
2020-05-19,2.342176
2020-05-20,2.369312
2020-05-21,2.362528
2020-05-22,2.333696
2020-05-25,2.34896
2020-05-26,2.330304
2020-05-27,2.313344
2020-05-28,2.332
2020-05-29,2.345568
2020-05-31,2.345568
2020-06-01,2.338784
2020-06-02,2.343872
2020-06-03,2.350656
2020-06-04,2.333696
2020-06-05,2.313344
2020-06-08,2.337088
2020-06-09,2.311648
2020-06-10,2.309952
2020-06-11,2.296384
2020-06-12,2.296384
2020-06-15,2.330304
2020-06-16,2.347264
2020-06-17,2.34896
2020-06-18,2.345568
2020-06-19,2.345568
2020-06-22,2.342176
2020-06-23,2.34048
2020-06-24,2.34896
2020-06-29,2.34048
2020-06-30,2.345568
2020-07-01,2.362528
2020-07-02,2.360832
2020-07-03,2.379488
2020-07-06,2.421888
2020-07-07,2.43376
2020-07-08,2.421888
2020-07-09,2.474464
2020-07-10,2.437152
2020-07-13,2.488032
2020-07-14,2.486336
2020-07-15,2.496512
2020-07-16,2.452416
2020-07-17,2.443936
2020-07-20,2.5016
2020-07-21,2.491424
2020-07-22,2.499904
2020-07-23,2.506688
2020-07-24,2.523648
2020-07-27,2.554176
2020-07-28,2.555872
2020-07-29,2.547392
2020-07-30,2.545696
2020-07-31,2.557568
2020-08-03,2.60336
2020-08-04,2.655936
2020-08-05,2.6288
2020-08-06,2.659328
2020-08-07,2.659328
2020-08-10,2.59488
2020-08-11,2.588096
2020-08-12,2.56096
2020-08-13,2.557568
2020-08-14,2.566048
2020-08-17,2.589792
2020-08-18,2.572832
2020-08-19,2.549088
2020-08-20,2.525344
2020-08-21,2.504992
2020-08-24,2.489728
2020-08-25,2.465984
2020-08-26,2.43376
2020-08-27,2.445632
2020-08-28,2.4592
2020-08-31,2.454112
2020-09-01,2.455808
2020-09-02,2.4592
2020-09-03,2.465984
2020-09-04,2.457504
2020-09-07,2.469376
2020-09-08,2.454112
2020-09-09,2.449024
2020-09-10,2.438848
2020-09-11,2.445632
2020-09-14,2.481248
2020-09-15,2.481248
2020-09-16,2.47616
2020-09-17,2.489728
2020-09-18,2.503296
2020-09-21,2.503296
2020-09-22,2.56944
2020-09-23,2.598272
2020-09-24,2.61184
2020-09-25,2.598272
2020-09-28,2.599968
2020-09-29,2.571136
2020-09-30,2.564352
2020-10-09,2.567744
2020-10-12,2.605056
2020-10-13,2.596576
2020-10-14,2.56944
2020-10-15,2.51856
2020-10-16,2.5016
2020-10-19,2.482944
2020-10-20,2.48464
2020-10-21,2.426976
2020-10-22,2.40832
2020-10-23,2.411712
2020-10-26,2.430368
2020-10-27,2.460896
2020-10-28,2.449024
2020-10-29,2.494816
2020-10-30,2.589792
2020-11-02,2.647456
2020-11-03,2.625408
2020-11-04,2.642368
2020-11-05,2.655936
2020-11-06,2.694944
2020-11-09,2.750912
2020-11-10,2.644064
2020-11-11,2.610144
2020-11-12,2.599968
2020-11-13,2.615232
2020-11-16,2.65424
2020-11-17,2.667808
2020-11-18,2.693248
2020-11-19,2.727168
2020-11-20,2.708512
2020-11-23,2.689856
2020-11-24,2.640672
2020-11-25,2.59488
2020-11-26,2.608448
2020-11-27,2.622016
2020-11-30,2.62032
2020-12-01,2.630496
2020-12-02,2.652544
2020-12-03,2.630496
2020-12-04,2.661024
2020-12-07,2.701728
2020-12-08,2.701728
2020-12-09,2.745824
2020-12-10,2.835712
2020-12-11,2.888288
2020-12-14,2.830624
2020-12-15,2.791616
2020-12-16,2.811968
2020-12-17,2.800096
2020-12-18,2.84928
2020-12-21,2.912032
2020-12-22,2.903552
2020-12-23,2.84928
2020-12-24,2.859456
2020-12-25,2.852672
2020-12-28,2.84928
2020-12-29,2.820448
2020-12-30,2.83232
2020-12-31,2.876416
2021-01-04,2.925315
2021-01-05,2.942574
2021-01-06,2.948326
2021-01-07,2.939697
2021-01-08,2.951203
2021-01-11,2.98572
2021-01-12,3.02599
2021-01-13,2.991473
2021-01-14,2.919562
2021-01-15,2.939697
2021-01-18,2.939697
2021-01-19,2.879292
2021-01-20,2.83327
2021-01-21,2.830393
2021-01-22,2.836146
2021-01-25,2.821764
2021-01-26,2.813135
2021-01-27,2.810258
2021-01-28,2.784371
2021-01-29,2.72109
2021-02-01,2.675067
2021-02-02,2.629044
2021-02-03,2.585898
2021-02-04,2.574392
2021-02-05,2.565763
2021-02-10,2.626168
2021-02-18,2.652056
2021-02-19,2.67219
2021-02-26,2.695202
2021-03-05,2.735472
2021-03-12,2.738348
2021-03-19,2.72109
2021-03-26,2.746977
2021-04-02,2.755607
2021-04-07,2.738348
