,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
121,2001-07-11,,,,,,,,,,,,,,,,,,,,,,,,
122,2001-07-12,,,,,,,,,,,,,,,,,,,,,,,,
123,2001-07-13,,,,,,,,,,,,,,,,,,,,,,,,
124,2001-07-16,,,,,,,,,,,,,,,,,,,,,,,,
125,2001-07-17,,,,,,,,,,,,,,,,,,,,,,,,
126,2001-07-18,,,,,,,,,,,,,,,,,,,,,,,,
127,2001-07-19,,,,,,,,,,,,,,,,,,,,,,,,
128,2001-07-20,,,,,,,,,,,,,,,,,,,,,,,,
129,2001-07-23,,,,,,,,,,,,,,,,,,,,,,,,
130,2001-07-24,,,,,,,,,,,,,,,,,,,,,,,,
131,2001-07-25,,,,,,,,,,,,,,,,,,,,,,,,
132,2001-07-26,,,,,,,,,,,,,,,,,,,,,,,,
133,2001-07-27,,,,,,,,,,,,,,,,,,,,,,,,
134,2001-07-30,,,,,,,,,,,,,,,,,,,,,,,,
135,2001-07-31,,,,,,,,,,,,,,,,,,,,,,,,
136,2001-08-01,,,,,,,,,,,,,,,,,,,,,,,,
137,2001-08-02,,,,,,,,,,,,,,,,,,,,,,,,
138,2001-08-03,,,,,,,,,,,,,,,,,,,,,,,,
139,2001-08-06,,,,,,,,,,,,,,,,,,,,,,,,
140,2001-08-07,,,,,,,,,,,,,,,,,,,,,,,,
141,2001-08-08,,,,,,,,,,,,,,,,,,,,,,,,
142,2001-08-09,,,,,,,,,,,,,,,,,,,,,,,,
143,2001-08-10,,,,,,,,,,,,,,,,,,,,,,,,
144,2001-08-13,,,,,,,,,,,,,,,,,,,,,,,,
145,2001-08-14,,,,,,,,,,,,,,,,,,,,,,,,
146,2001-08-15,,,,,,,,,,,,,,,,,,,,,,,,
147,2001-08-16,,,,,,,,,,,,,,,,,,,,,,,,
148,2001-08-17,,,,,,,,,,,,,,,,,,,,,,,,
149,2001-08-20,,,,,,,,,,,,,,,,,,,,,,,,
150,2001-08-21,,,,,,,,,,,,,,,,,,,,,,,,
151,2001-08-22,,,,,,,,,,,,,,,,,,,,,,,,
152,2001-08-23,,,,,,,,,,,,,,,,,,,,,,,,
153,2001-08-24,,,,,,,,,,,,,,,,,,,,,,,,
154,2001-08-27,,,,,,,,,,,,,,,,,,,,,,,,
155,2001-08-28,,,,,,,,,,,,,,,,,,,,,,,,
156,2001-08-29,,,,,,,,,,,,,,,,,,,,,,,,
157,2001-08-30,,,,,,,,,,,,,,,,,,,,,,,,
158,2001-08-31,,,,,,,,,,,,,,,,,,,,,,,,
159,2001-09-03,,,,,,,,,,,,,,,,,,,,,,,,
160,2001-09-04,,,,,,,,,,,,,,,,,,,,,,,,
161,2001-09-05,,,,,,,,,,,,,,,,,,,,,,,,
