,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
3741,2016-06-16,5952.846,5945.4943,5930.5454,5979.1155,5909.6871,33.62119999999959,35.80720000000019,26.269500000000335,43.15889999999945,-0.0037462081162522587,127.17253761649265,78.17273192219167,5883.294800000009,5953.396769999991,5848.762395000012,5996.683868333336,6092.473758333331,6894.477743600008,-0.018991715146157384,-0.002820933332956743,0.024213390104652843,-0.0031462048324304437,-0.23142090078517452,-0.46237073607641066
3742,2016-06-17,5930.5454,5937.3204,5964.2724,6002.6166,5918.1931,65.29620000000068,19.127299999999195,72.07120000000032,12.352299999999559,0.005686998028882728,130.44414250892916,82.84768930546454,5871.373760000008,5952.446019999991,5865.4163800000115,5994.430400000003,6078.014611666664,6874.279873200007,-0.009894822564123773,-0.0015915383825909624,0.05914905025359918,-0.022167150136802594,-0.22535578885025664,-0.45846983858344215
3743,2016-06-20,5964.2724,5965.8246,5985.5691,5994.9995,5908.4815,29.17489999999998,57.34310000000005,30.727100000000064,55.790899999999965,0.0035707121626435967,131.21664315640848,79.7597504323981,5919.198820000008,5949.613509999991,5881.358180000012,5992.931681666671,6062.989654166664,6853.389918800008,0.04161274491190525,-0.004709943184567522,0.05626451685187006,-0.014800957196521414,-0.23149259606777328,-0.4659583970557182
3744,2016-06-21,5985.5691,6023.9225,5916.8032,6053.4091,5888.3583,29.48660000000018,135.5641999999998,67.84000000000015,97.21079999999984,-0.011488615176124095,122.62714917214406,87.13501394202413,5950.007220000009,5938.0335299999915,5890.553250000012,5989.562295000005,6046.8246133333305,6831.591959200008,0.026730588801771038,-0.019195660645993096,0.032078240028461824,-0.03303878249764536,-0.24690106408642176,-0.4794430208737095
3745,2016-06-22,5916.8032,5901.1504,6008.8857,6009.0569,5895.9138,107.90649999999914,5.23660000000018,92.2536999999993,20.889400000000023,0.01556288030671693,127.82716950892595,91.17943005757849,5961.215160000009,5933.7361499999915,5900.523730000012,5989.403320000004,6032.121306666664,6809.443939600008,0.009413934108156052,-0.007100924930593555,0.034324885164774166,-0.0015848832988543116,-0.22698220475069575,-0.47956498912262346
3746,2016-06-23,6008.8857,5998.6728,5978.1737,6015.182,5933.6833,16.50919999999951,64.98950000000059,6.296299999999974,75.20240000000013,-0.005111097386991337,116.5061541011505,83.82818256740741,5970.740820000008,5927.017809999991,5912.273505000012,5987.749028333337,6017.330781666664,6788.025066400008,0.00803101515756044,-0.011113222740803841,0.04091732692535999,-0.016332147042651735,-0.22892488049231074,-0.4724935435721085
3747,2016-06-24,5978.1737,5967.5154,5903.6202,6011.3713,5748.8387,43.855899999999565,218.67669999999998,33.19759999999951,229.33500000000004,-0.012470949112770024,103.82969113926809,74.80022428566876,5958.610380000009,5914.992069999991,5921.695345000013,5985.513061666671,6001.5932466666645,6768.120204000007,-0.010169253838909098,-0.019963453440687395,0.03297126037985065,-0.022219762892250583,-0.2423606327434915,-0.4573796600864142
3748,2016-06-27,5903.6202,5864.726,6044.2191,6044.3229,5864.6141,179.59690000000046,0.11189999999987776,140.70269999999982,39.006100000000515,0.02381570887639417,131.36206114956883,95.70511216162745,5970.340380000009,5944.7695999999905,5936.686920000013,5987.552260000005,5988.600398333331,6747.894898000008,0.00979856702347659,0.051819057205432006,0.05219555518851138,0.020661034073847562,-0.20505955465036518,-0.4555025205247568
3749,2016-06-28,6044.2191,6018.912,6107.5105,6111.0708,6012.0512,92.15880000000016,6.860800000000381,66.85170000000016,32.16790000000037,0.010471394063130468,130.05942680577536,91.97976898900431,6008.481840000009,5979.244529999991,5955.0829600000125,5987.052378333337,5975.5430849999975,6729.3994252000075,0.03223147594295517,0.0598236310746314,0.06410228243318494,-0.004886824176749016,-0.2041697109376055,-0.43087363974956916
3750,2016-06-29,6107.5105,6130.576,6120.2021,6145.0001,6100.084,14.42410000000018,30.49200000000019,37.48959999999988,7.4265000000004875,0.0020780316300725854,121.66025222165766,93.60367501143423,6030.745120000009,5995.980139999991,5975.527305000012,5986.4588500000045,5962.036042499997,6713.930604000008,0.018525298292826564,0.02811362833844533,0.07159242410574729,-0.0057850515231632205,-0.20938318267843647,-0.38720812570437446
