,日期,收盘价,基差,指数,贴水率
811,2013-05-14,2472.2,-21.138000000000375,2493.338,-0.008477791619106745
812,2013-05-15,2471.0,-35.92500000000018,2506.925,-0.014330305054997728
813,2013-05-16,2525.0,-27.708999999999833,2552.709,-0.010854742941714013
814,2013-05-17,2572.6,-19.447999999999865,2592.048,-0.0075029474762812525
815,2013-05-20,2587.0,-22.60699999999997,2609.607,-0.00866299025102246
816,2013-05-21,2592.4,-22.452999999999975,2614.853,-0.00858671596453031
817,2013-05-22,2595.6,-22.434000000000196,2618.034,-0.00856902545956248
818,2013-05-23,2563.4,-19.44900000000007,2582.849,-0.007530056925511351
819,2013-05-24,2581.0,-16.228000000000065,2597.228,-0.006248200004004294
820,2013-05-27,2567.0,-32.58699999999999,2599.587,-0.012535452746917102
821,2013-05-28,2625.4,-18.958999999999833,2644.359,-0.007169601404347834
822,2013-05-29,2620.6,-21.96100000000024,2642.561,-0.008310498792648585
823,2013-05-30,2618.6,-15.722999999999956,2634.323,-0.005968516389220288
824,2013-05-31,2592.0,-14.42599999999993,2606.426,-0.005534782111596467
825,2013-06-03,2589.6,-13.023000000000138,2602.623,-0.005003798091387088
826,2013-06-04,2555.8,-9.865999999999985,2565.666,-0.003845395308664489
827,2013-06-05,2546.2,-14.339000000000397,2560.539,-0.005599992814013141
828,2013-06-06,2526.8,-1.044999999999618,2527.845,-0.00041339559980917265
829,2013-06-07,2467.4,-16.759999999999764,2484.16,-0.006746747391472274
830,2013-06-13,2375.2,-24.73700000000008,2399.937,-0.010307353901373278
831,2013-06-14,2389.0,-27.771000000000186,2416.771,-0.011490952183719592
832,2013-06-17,2386.8,-17.03899999999976,2403.839,-0.007088245094617302
833,2013-06-18,2394.4,-24.3449999999998,2418.745,-0.010065137085554617
834,2013-06-19,2377.8,-22.96499999999969,2400.765,-0.009565700932827532
835,2013-06-20,2316.8,-4.665999999999713,2321.466,-0.0020099368244030765
836,2013-06-21,2296.4,-20.993999999999687,2317.394,-0.009059314039822184
837,2013-06-24,2135.0,-36.210000000000036,2171.21,-0.016677336600328864
838,2013-06-25,2116.6,-48.82099999999991,2165.421,-0.022545731291975055
839,2013-06-26,2125.4,-42.896999999999935,2168.297,-0.019783728889538627
840,2013-06-27,2121.2,-39.53500000000031,2160.735,-0.018297014673247902
841,2013-06-28,2163.2,-37.439000000000306,2200.639,-0.017012785831751732
842,2013-07-01,2159.0,-54.31700000000001,2213.317,-0.024540994353723398
843,2013-07-02,2155.0,-66.98399999999992,2221.984,-0.030146031654593338
844,2013-07-03,2132.0,-71.82799999999997,2203.828,-0.03259238016759927
845,2013-07-04,2153.2,-68.779,2221.979,-0.030953937908504085
846,2013-07-05,2152.8,-74.04899999999998,2226.849,-0.03325281597450028
847,2013-07-08,2107.2,-56.419000000000324,2163.619,-0.026076217670486495
848,2013-07-09,2105.4,-57.26899999999978,2162.669,-0.026480705091717585
849,2013-07-10,2176.8,-47.26499999999987,2224.065,-0.02125162708823702
850,2013-07-11,2309.4,-17.28800000000001,2326.688,-0.007430304363971452
851,2013-07-12,2261.6,-13.773000000000138,2275.373,-0.006053073496081802
852,2013-07-15,2283.8,-23.496999999999844,2307.297,-0.010183777814472885
853,2013-07-16,2289.8,-28.047999999999774,2317.848,-0.012100879781590412
854,2013-07-17,2264.2,-18.635999999999967,2282.836,-0.008163529925058116
855,2013-07-18,2229.6,-15.728000000000065,2245.328,-0.007004767232226234
856,2013-07-19,2155.0,-35.478000000000065,2190.478,-0.016196464881181215
857,2013-07-22,2162.0,-40.18899999999985,2202.189,-0.018249568951620342
858,2013-07-23,2236.6,-29.24499999999989,2265.845,-0.012906884628030555
859,2013-07-24,2223.2,-25.951000000000022,2249.151,-0.011538131499396894
860,2013-07-25,2201.4,-36.2829999999999,2237.683,-0.016214539771719185
861,2013-07-26,2184.2,-39.80799999999999,2224.008,-0.01789921618986982
862,2013-07-29,2151.0,-24.9699999999998,2175.97,-0.011475342031369826
863,2013-07-30,2155.0,-34.38799999999992,2189.388,-0.015706672366889707
864,2013-07-31,2155.0,-38.021000000000186,2193.021,-0.017337271280120064
865,2013-08-01,2231.6,-13.764000000000124,2245.364,-0.006129963783155036
866,2013-08-02,2230.4,-16.86299999999983,2247.263,-0.007503794615939402
867,2013-08-05,2256.8,-21.528999999999996,2278.329,-0.009449469325984085
868,2013-08-06,2270.4,-23.240999999999985,2293.641,-0.010132797591253377
869,2013-08-07,2249.6,-31.02300000000014,2280.623,-0.013602862024981831
870,2013-08-08,2259.2,-17.582000000000335,2276.782,-0.007722302794031371
871,2013-08-09,2280.2,-5.8100000000004,2286.01,-0.002541546187462172
872,2013-08-12,2344.0,-8.793999999999869,2352.794,-0.0037376837921211416
873,2013-08-13,2355.0,-4.068000000000211,2359.068,-0.0017244098092976594
874,2013-08-14,2353.4,4.320000000000164,2349.08,0.0018390178282562382
875,2013-08-15,2329.6,8.023999999999887,2321.576,0.003456272807782251
876,2013-08-16,2286.2,-17.94399999999996,2304.144,-0.0077877077127123835
877,2013-08-19,2334.6,3.1700000000000728,2331.43,0.0013596805394114654
878,2013-08-20,2314.6,2.1349999999997635,2312.465,0.0009232572168658827
879,2013-08-21,2317.4,8.81100000000015,2308.589,0.003816616989858372
880,2013-08-22,2313.2,9.268000000000029,2303.932,0.00402268816961613
881,2013-08-23,2283.0,-3.9290000000000873,2286.929,-0.0017180244773668475
882,2013-08-26,2345.6,9.983999999999924,2335.616,0.004274675289088585
883,2013-08-27,2342.0,1.1190000000001419,2340.881,0.0004780251537776341
884,2013-08-28,2326.6,-1.456000000000131,2328.056,-0.0006254145089293947
885,2013-08-29,2318.0,-0.31100000000014916,2318.311,-0.00013414938720480088
886,2013-08-30,2304.6,-9.309999999999945,2313.91,-0.004023492702827658
887,2013-09-02,2330.2,9.855999999999767,2320.344,0.004247646038690715
888,2013-09-03,2351.8,-2.701999999999771,2354.502,-0.001147588747004577
889,2013-09-04,2344.0,-6.699000000000069,2350.699,-0.002849790636742547
890,2013-09-05,2342.0,0.26499999999987267,2341.735,0.00011316395749300098
891,2013-09-06,2355.8,-1.981999999999971,2357.782,-0.0008406205493128588
892,2013-09-09,2436.4,-4.208999999999833,2440.609,-0.0017245695643996366
893,2013-09-10,2475.0,0.10600000000022192,2474.894,4.2830117168744164e-05
894,2013-09-11,2484.0,1.1109999999998763,2482.889,0.0004474626131091145
895,2013-09-12,2506.6,-0.8550000000000182,2507.455,-0.0003409831881329947
896,2013-09-13,2501.2,12.297999999999774,2488.902,0.004941134685093979
897,2013-09-16,2484.6,6.210000000000036,2478.39,0.0025056589156670405
898,2013-09-17,2443.2,15.877999999999702,2427.322,0.006541365340074247
899,2013-09-18,2437.2,4.6899999999996,2432.51,0.0019280496277505948
900,2013-09-23,2468.8,-3.487999999999829,2472.288,-0.0014108388666691863
901,2013-09-24,2455.6,11.71499999999969,2443.885,0.004793597080058877
902,2013-09-25,2438.6,9.569999999999709,2429.03,0.003939844299987941
903,2013-09-26,2394.8,10.356999999999971,2384.443,0.004343572062741685
904,2013-09-27,2403.8,8.829000000000178,2394.971,0.003686474700528807
905,2013-09-30,2413.2,4.163000000000011,2409.037,0.0017280764056342892
906,2013-10-08,2444.2,2.388999999999669,2441.811,0.0009783721999776678
907,2013-10-09,2458.6,5.016999999999825,2453.583,0.002044764737936245
908,2013-10-10,2432.0,2.6829999999999927,2429.317,0.001104425647208657
909,2013-10-11,2470.6,2.0920000000000982,2468.508,0.0008474754791153597
910,2013-10-14,2474.0,1.4580000000000837,2472.542,0.0005896765353227908
911,2013-10-15,2461.8,-5.7169999999996435,2467.517,-0.002316903997013858
912,2013-10-16,2424.8,3.4290000000000873,2421.371,0.0014161398645643674
913,2013-10-17,2405.2,-8.13000000000011,2413.33,-0.0033687891834105195
914,2013-10-18,2415.0,-11.054000000000087,2426.054,-0.004556370138504785
915,2013-10-21,2468.0,-3.3220000000001164,2471.322,-0.0013442198143342374
916,2013-10-22,2447.0,1.1089999999999236,2445.891,0.00045341350043805043
917,2013-10-23,2420.2,1.7089999999998327,2418.491,0.0007066389744678945
918,2013-10-24,2405.4,4.889000000000124,2400.511,0.0020366496966688027
919,2013-10-25,2360.4,-8.159000000000106,2368.559,-0.0034447104758632166
920,2013-10-28,2365.2,-0.7540000000003602,2365.954,-0.00031868751463484077
921,2013-10-29,2369.6,-2.4529999999999745,2372.053,-0.001034125291466917
922,2013-10-30,2393.0,-14.471000000000004,2407.471,-0.006010871989735288
923,2013-10-31,2381.6,7.882000000000062,2373.718,0.0033205292288300725
