日期,收盘价,基差,指数,贴水率
2016-09-23,3248.4,-27.266499999999724,3275.6665,-0.008323954834840398
2016-09-26,3204.8,-15.483799999999974,3220.2838,-0.004808209760891252
2016-09-27,3224.8,-15.954600000000028,3240.7546,-0.00492311266024278
2016-09-28,3221.4,-9.490400000000136,3230.8904,-0.002937394595619875
2016-09-29,3241.8,-2.5873999999998887,3244.3874,-0.000797500323173456
2016-09-30,3246.0,-7.284799999999905,3253.2848,-0.002239213732532702
2016-10-10,3289.2,-4.6689000000001215,3293.8689,-0.0014174516781770281
2016-10-11,3298.0,-8.557299999999941,3306.5573,-0.0025879787415146083
2016-10-12,3289.8,-10.209899999999834,3300.0099,-0.003093899809209613
2016-10-13,3287.2,-15.445500000000266,3302.6455,-0.004676705386636339
2016-10-14,3301.8,-4.048099999999977,3305.8481,-0.0012245269224559884
2016-10-17,3271.0,-6.878700000000208,3277.8787,-0.002098521827546641
2016-10-18,3317.0,-4.3323999999997795,3321.3324,-0.0013044162637861178
2016-10-19,3312.8,-3.4406999999996515,3316.2407,-0.001037530237174778
2016-10-20,3317.4,-1.2044000000000779,3318.6044,-0.0003629236434448402
2016-10-21,3319.2,-8.539999999999964,3327.74,-0.00256630626190747
2016-10-24,3344.2,-23.377800000000207,3367.5778,-0.006942022245187685
2016-10-25,3338.8,-28.654699999999593,3367.4547,-0.008509305262517591
2016-10-26,3329.8,-25.000299999999697,3354.8003,-0.007452097819354463
2016-10-27,3324.6,-21.095000000000255,3345.695,-0.006305117471855699
2016-10-28,3324.0,-16.126200000000154,3340.1262,-0.0048280211687810335
2016-10-31,3317.4,-18.877799999999752,3336.2778,-0.0056583417603893035
2016-11-01,3341.2,-17.851500000000215,3359.0515,-0.0053144466525744585
2016-11-02,3319.2,-14.152400000000398,3333.3524,-0.004245695714620632
2016-11-03,3351.8,-13.284999999999854,3365.085,-0.00394789433253539
2016-11-04,3338.6,-15.57490000000007,3354.1749,-0.0046434370491533015
2016-11-07,3343.4,-13.191600000000108,3356.5916,-0.003930058098220858
2016-11-08,3365.2,-5.917699999999968,3371.1177,-0.001755411862362435
2016-11-09,3348.2,-4.854700000000321,3353.0547,-0.0014478439615077919
2016-11-10,3379.4,-11.211899999999787,3390.6119,-0.0033067482598051956
2016-11-11,3416.8,-0.421100000000024,3417.2211,-0.00012322878376234538
2016-11-14,3425.6,-4.648200000000088,3430.2482,-0.0013550622954922294
2016-11-15,3423.2,-6.669700000000375,3429.8697,-0.0019445928222872068
2016-11-16,3423.6,-5.992099999999937,3429.5921,-0.001747175706405417
