日期,前收盘价,开盘价,收盘价,最高价,最低价,成交量,成交额,vwap,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
2018-12-04,3260.9502,3256.2282,3267.7095,3267.94,3243.6951,7941503900.0,90543600200.0,11.401316594455114,11.71180000000004,12.533100000000104,6.989799999999832,17.25510000000031,0.002072800743783132,108.55734823346475,144.80273966962974,3203.587300000005,3188.081549999999,3207.17324500001,3227.2176116666724,3341.2187558333285,3683.4592048000045,0.041586919055285776,0.015318724700998043,0.007572605945132871,-0.016290835085583044,-0.1354387359837278,-0.20381394840226497
2018-12-05,3267.7095,3224.2556,3252.0041,3266.9039,3219.9785,7615305200.0,90909093800.0,11.937682261244106,42.648299999999836,4.277099999999791,-0.8056000000001404,47.73099999999977,-0.004806241191268601,103.13295881648008,126.95336524027196,3218.201600000005,3190.632779999999,3208.6779450000095,3225.352706666672,3336.818941666662,3680.2674312000045,0.0229861746675597,0.00790713306632318,0.00934042200618812,-0.033263281673429845,-0.13967731273203488,-0.197025615764155
2018-12-06,3252.0041,3218.113,3181.673,3223.5219,3179.8948,7632877100.0,95678883400.0,12.535100742025573,5.408900000000358,38.2181999999998,-28.48219999999992,72.10930000000008,-0.02162700225377956,91.8099142138655,99.80682353228626,3227.005360000005,3187.3573499999993,3207.12291000001,3223.411570000005,3331.4499383333286,3676.7708292000043,0.014029206915153303,-0.010189777818275791,-0.009680327002178912,-0.03531328494971664,-0.16839734639737125,-0.21552971918033426
2018-12-07,3181.673,3187.4919,3181.5646,3193.8191,3176.7061,5336192400.0,66323970600.0,12.429081567598649,6.327200000000175,10.785800000000108,12.146100000000388,4.966899999999896,-3.407012599965231e-05,88.03353219867884,88.33365400358697,3228.780280000005,3191.166289999999,3207.8289300000097,3222.056300000005,3326.393484166662,3673.2820760000045,0.002797184723373647,0.01211697168789505,0.0044579790861036805,-0.024921596890698505,-0.16016900387824307,-0.2151557634408352
2018-12-10,3181.5646,3153.5228,3144.7631,3170.1523,3134.3845,6343727300.0,73717204700.0,11.62048764296662,16.629500000000007,19.138300000000072,-11.41229999999996,47.18010000000004,-0.011567107579710911,88.03203851697994,61.00454388855074,3205.542860000005,3191.5182599999994,3204.8100500000096,3219.8416216666724,3321.1551308333283,3669.8367312000046,-0.03562982961224004,0.0011204798711237363,-0.018837737762963047,-0.040541531694200494,-0.1665893219196497,-0.21500620316625696
2018-12-11,3144.7631,3148.2256,3159.8158,3161.9557,3143.6072,5322387700.0,60014969700.0,11.275948518368926,13.730099999999766,4.6184000000002925,17.192599999999857,1.1559000000002015,0.004786592668935663,93.53374102654858,70.10476795106261,3183.964120000005,3193.775709999999,3200.9317250000095,3218.6707500000057,3316.2083141666612,3666.4834484000044,-0.033018143136652744,0.007195653072653352,-0.023959635536402457,-0.021749479523357484,-0.15815331550539136,-0.20967785867240907
2018-12-12,3159.8158,3181.566,3170.6092,3182.2107,3160.2784,5330991400.0,60536223400.0,11.355528241895119,0.6447000000002845,21.287599999999657,22.394900000000234,-0.4626000000002932,0.003415832024132648,96.767950088916,80.13152284922086,3167.685140000005,3192.943369999999,3199.2150500000093,3217.7773766666724,3312.454085833328,3663.090456800004,-0.025029150486003404,-0.002618300243295568,-0.010712672023746372,-0.016624963448428787,-0.1244111830036072,-0.21106694736670295
2018-12-13,3170.6092,3178.891,3219.6924,3234.0817,3169.4234,9044275500.0,103375478600.0,11.429934725009206,55.190700000000106,9.467599999999948,63.47250000000031,1.1857999999997446,0.015480684279853829,104.40799374767434,88.9495311300284,3175.289020000005,3201.147189999999,3198.0810950000096,3218.071836666672,3308.989492499995,3659.808544800004,0.011949499524307017,0.02614634844081931,-0.0069946025617361185,0.0055176337172653245,-0.11436051435373673,-0.20308004830687343
2018-12-14,3219.6924,3207.3481,3165.9109,3210.7221,3165.9109,8430125000.0,91576900500.0,10.863053691374683,3.3739999999997963,41.4372000000003,-8.970299999999952,53.78150000000005,-0.016703924884252985,105.14424677132939,77.51348760985604,3172.1582800000056,3200.469279999999,3193.4929650000095,3216.8942483333385,3305.430708333328,3656.4089040000044,-0.004920126405731362,-0.002136704184777072,-0.02816813901086157,-0.021830327462481813,-0.11885840802791015,-0.21164045380408014
2018-12-17,3165.9109,3158.2844,3161.1966,3167.5125,3134.3653,6649700700.0,77151490800.0,11.602250128340362,9.228099999999813,23.91910000000007,1.6015999999999622,31.545599999999922,-0.0014890817047313876,107.32734515271322,82.54775535301631,3175.444980000005,3190.493919999999,3186.82264000001,3215.5460216666715,3301.6998083333283,3653.1694628000046,0.0052256718479049,-0.0305903475618855,-0.040492434430113744,-0.024951063977183607,-0.124056479630966,-0.20394074433937215
