,日期,收盘价,基差,指数,贴水率
1855,2017-08-22,2643.2,-0.30320000000028813,2643.5032,-0.00011469628635224958
1856,2017-08-23,2667.2,7.419599999999718,2659.7804,0.0027895536037485344
1857,2017-08-24,2652.4,5.998399999999947,2646.4016,0.0022666249899485954
1858,2017-08-25,2719.6,13.357899999999972,2706.2421,0.004935958981644685
1859,2017-08-28,2751.6,15.138300000000072,2736.4617,0.005532070849009169
1860,2017-08-29,2746.0,6.871000000000095,2739.129,0.0025084616314164448
1861,2017-08-30,2738.0,9.769200000000183,2728.2308,0.0035807820951219314
1862,2017-08-31,2732.0,17.36869999999999,2714.6313,0.006398180113815084
1863,2017-09-01,2727.4,17.281400000000303,2710.1186,0.006376621303584391
1864,2017-09-04,2727.2,15.852499999999964,2711.3475,0.005846723815372232
1865,2017-09-05,2743.8,13.952400000000125,2729.8476,0.005111054551177188
1866,2017-09-06,2722.4,8.069100000000162,2714.3309,0.0029727768268784627
1867,2017-09-07,2702.4,10.570999999999913,2691.829,0.0039270696615572205
1868,2017-09-08,2697.6,10.910100000000057,2686.6899,0.004060796149194612
1869,2017-09-11,2690.2,15.449799999999868,2674.7502,0.005776165564918873
1870,2017-09-12,2708.8,16.259900000000016,2692.5401,0.006038870136047376
1871,2017-09-13,2705.0,17.329299999999876,2687.6707,0.0064477020938613775
1872,2017-09-14,2687.6,14.76359999999977,2672.8364,0.005523570391363934
1873,2017-09-15,2692.6,24.224099999999908,2668.3759,0.009078218702245027
1874,2017-09-18,2706.0,31.824099999999817,2674.1759,0.011900526064870982
1875,2017-09-19,2692.4,21.708599999999933,2670.6914,0.008128456923177246
1876,2017-09-20,2689.8,27.17340000000013,2662.6266,0.010205486567286651
1877,2017-09-21,2699.4,23.84920000000011,2675.5508,0.008913753384910543
1878,2017-09-22,2696.8,17.747100000000046,2679.0529,0.0066243932697260454
1879,2017-09-25,2693.2,12.548399999999674,2680.6516,0.004681100669702722
1880,2017-09-26,2700.0,21.008800000000065,2678.9912,0.007842056368083652
1881,2017-09-27,2682.6,21.046800000000076,2661.5532,0.007907713435899038
1882,2017-09-28,2687.2,25.916799999999967,2661.2832,0.009738460003054153
1883,2017-09-29,2700.0,27.672799999999825,2672.3272,0.01035531876485777
1884,2017-10-09,2716.6,24.523099999999886,2692.0769,0.009109360880441375
1885,2017-10-10,2717.8,22.26260000000002,2695.5374,0.008259058100993153
1886,2017-10-11,2728.4,20.877899999999954,2707.5221,0.007711072792351336
1887,2017-10-12,2735.2,16.849199999999655,2718.3508,0.006198317008974579
1888,2017-10-13,2737.0,23.6233000000002,2713.3767,0.00870623677132637
1889,2017-10-16,2739.0,12.357700000000023,2726.6423,0.004532204315908993
1890,2017-10-17,2742.0,18.465499999999793,2723.5345,0.006779976534169034
1891,2017-10-18,2758.6,5.589500000000044,2753.0105,0.0020303228047986173
1892,2017-10-19,2759.6,3.5645999999997002,2756.0354,0.0012933796133386749
1893,2017-10-20,2745.0,7.358900000000176,2737.6411,0.002688044097526216
1894,2017-10-23,2764.0,29.63169999999991,2734.3683,0.01083676255316444
1895,2017-10-24,2775.0,21.350800000000163,2753.6492,0.007753638335631192
1896,2017-10-25,2776.4,24.260600000000068,2752.1394,0.008815178475334522
1897,2017-10-26,2805.0,33.95649999999978,2771.0435,0.012254047978676543
1898,2017-10-27,2837.8,23.528000000000247,2814.272,0.008360243785959655
1899,2017-10-30,2821.0,11.893099999999777,2809.1069,0.004233765543062735
